Team Name,Winners,Finals,Qualifiers,Total Seasons
CSK,5,10,12,14
LSG,0,0,2,2
GT,1,2,2,2
MI,5,6,10,16
RR,1,2,5,14
RCB,0,3,8,16
KKR,2,3,7,16
PBKS,0,1,2,16
DC,0,1,6,16
SRH,1,2,5,11
